Date,Time,Open,High,Low,Close,Volume
2024-07-10,14:00:00,373.5850,373.5850,372.5100,373.4400,77905
2024-07-10,13:45:00,372.0970,373.6590,372.0970,373.5850,101038
2024-07-10,13:30:00,372.1900,373.1000,371.3800,372.2380,95919
2024-07-10,13:15:00,370.8800,372.8500,370.8800,372.1700,101683
2024-07-10,13:00:00,372.1000,372.9500,370.4100,370.9360,159686
2024-07-10,12:45:00,370.0000,372.3600,369.8300,372.1850,250259
2024-07-10,12:30:00,367.1200,370.2200,366.6100,370.0800,196880
2024-07-10,12:15:00,366.3400,367.6630,365.5900,367.0140,221845
2024-07-10,12:00:00,368.0450,368.6900,366.3500,366.4600,168374
2024-07-10,11:45:00,369.1700,369.1700,367.5000,368.0700,196240
2024-07-10,11:30:00,369.9300,370.9100,368.1000,369.2480,200152
2024-07-10,11:15:00,368.5220,370.1100,367.5800,369.9400,232510
2024-07-10,11:00:00,370.0450,370.5400,368.5000,368.6400,252691
2024-07-10,10:45:00,371.4500,371.8100,369.5100,370.0450,173597
2024-07-10,10:30:00,371.9800,372.5800,368.8500,371.4700,422286
2024-07-10,10:15:00,374.2040,374.4000,371.4500,372.0050,298761
2024-07-10,10:00:00,376.4900,376.8900,373.0200,374.4100,317910
2024-07-10,09:45:00,379.7600,381.7600,374.0200,376.7100,399771
2024-07-10,09:30:00,385.0000,385.0200,376.0000,379.7620,436025
2024-07-10,09:15:00,386.7600,387.2260,384.2500,384.2500,2626
2024-07-10,09:00:00,386.7100,387.2500,334.6100,387.2500,921
2024-07-10,08:45:00,386.5600,387.5100,386.3200,386.7400,1095
2024-07-10,08:30:00,386.7700,388.0000,386.2600,386.3670,224
2024-07-10,08:15:00,387.0000,387.0000,386.3600,386.5700,561
2024-07-10,08:00:00,386.3200,398.0000,382.9930,387.8180,2248
2024-07-10,07:45:00,387.2500,387.4600,386.9600,386.9900,200
2024-07-10,07:30:00,387.0300,387.3600,386.9400,387.2300,174
2024-07-10,07:15:00,387.3600,387.3600,386.9600,386.9600,122
2024-07-10,07:00:00,386.6200,387.2600,386.5800,387.2500,246
2024-07-10,06:45:00,386.9700,386.9700,386.5400,386.5400,9
2024-07-10,06:30:00,386.5100,386.5100,386.5100,386.5100,4
2024-07-10,06:15:00,387.4600,387.4600,386.9700,386.9900,24
2024-07-10,06:00:00,386.4100,386.9700,386.4100,386.4800,78
2024-07-10,05:45:00,386.4100,386.9800,386.4100,386.9800,5
2024-07-10,05:15:00,386.9900,386.9900,386.3200,386.3200,60
2024-07-10,05:00:00,386.9900,387.6000,386.9900,387.6000,11
2024-07-10,04:45:00,386.7000,386.9900,386.7000,386.9900,13
2024-07-10,04:15:00,386.5000,387.6000,386.5000,387.4700,64
2024-07-10,04:00:00,385.8600,388.4800,385.8600,388.4800,162
2024-07-09,19:45:00,385.6700,385.9000,385.1500,385.8800,424
2024-07-09,19:30:00,385.6700,385.9000,385.1500,385.1500,192
2024-07-09,19:15:00,385.6600,385.9000,385.1500,385.8400,240
2024-07-09,19:00:00,385.1500,385.9400,385.1500,385.1790,1181
2024-07-09,18:45:00,385.7600,385.8200,385.1500,385.8200,17
2024-07-09,18:30:00,385.4500,385.9300,385.0000,385.9300,3947
2024-07-09,18:15:00,385.1000,385.6700,385.1000,385.3500,123
2024-07-09,18:00:00,385.3500,385.8000,385.1000,385.6700,349
2024-07-09,17:45:00,385.3600,385.8800,385.0000,385.2530,88
2024-07-09,17:30:00,385.7900,385.9000,385.0000,385.8300,467
2024-07-09,17:15:00,385.7600,385.9000,385.0000,385.0220,764
2024-07-09,17:00:00,385.7440,385.9000,385.5000,385.5200,1059
2024-07-09,16:45:00,385.7000,385.8800,385.5000,385.6900,2819
2024-07-09,16:30:00,385.7000,385.8000,385.5200,385.8000,1185
2024-07-09,16:15:00,385.8800,385.9300,385.4000,385.7600,1722
2024-07-09,16:00:00,385.5400,385.9300,385.0500,385.6600,534728
2024-07-09,15:45:00,384.4200,386.1350,383.8400,385.8600,267230
2024-07-09,15:30:00,383.8800,384.6150,383.2000,384.5000,109736
2024-07-09,15:15:00,386.0200,386.0700,383.5000,383.8820,114861
2024-07-09,15:00:00,386.4600,386.6600,385.8100,385.9760,40645
2024-07-09,14:45:00,386.1000,386.8600,385.6200,386.3900,47589
2024-07-09,14:30:00,385.8200,386.1300,385.4010,386.1200,37019
2024-07-09,14:15:00,386.3800,386.4100,385.4600,385.7400,38905
2024-07-09,14:00:00,386.0850,386.5650,385.5000,386.4350,34764
2024-07-09,13:45:00,385.6600,386.2100,385.1500,386.0000,41771
2024-07-09,13:30:00,386.5000,386.7000,385.6800,385.6800,45692
2024-07-09,13:15:00,387.8400,387.8400,386.2800,386.6100,53635
2024-07-09,13:00:00,388.4050,388.4050,387.4500,387.8400,69071
2024-07-09,12:45:00,387.5900,388.7000,386.9900,388.3900,148022
2024-07-09,12:30:00,387.8000,387.9300,387.1200,387.6300,44117
2024-07-09,12:15:00,387.6900,388.3800,387.3100,387.7500,46683
2024-07-09,12:00:00,387.7100,387.9400,386.8700,387.6850,41629
2024-07-09,11:45:00,386.0800,388.1500,386.0800,387.8400,77763
2024-07-09,11:30:00,385.4000,386.5000,385.2400,386.0400,65178
2024-07-09,11:15:00,386.0000,386.9140,384.6540,385.1730,65161
2024-07-09,11:00:00,385.2400,386.3000,384.5100,385.9700,117132
2024-07-09,10:45:00,385.4500,386.6200,385.2700,385.3900,99331
2024-07-09,10:30:00,388.0000,388.1400,385.0100,385.3650,146631
2024-07-09,10:15:00,391.3000,391.3000,386.5900,388.2900,138638
2024-07-09,10:00:00,390.3650,391.7800,389.5730,391.5200,110012
2024-07-09,09:45:00,389.9600,391.4400,389.4800,390.1400,122644
2024-07-09,09:30:00,392.5100,398.3270,388.5400,389.8400,513806
2024-07-09,09:15:00,389.6100,392.4800,388.5000,392.2600,7727
2024-07-09,09:00:00,390.5600,390.7600,389.1000,389.4400,2387
2024-07-09,08:45:00,390.2600,391.2500,381.7000,390.0000,1157
2024-07-09,08:30:00,390.7600,392.0000,390.0000,390.3600,2196
2024-07-09,08:15:00,391.4950,391.6800,390.0000,390.6600,1427
2024-07-09,08:00:00,391.9800,394.0000,390.7100,391.5600,8477
2024-07-09,07:45:00,391.6000,391.7300,391.3200,391.3400,398
2024-07-09,07:30:00,391.8600,391.8600,391.5600,391.5600,228
2024-07-09,07:15:00,392.1600,392.1700,391.5500,391.7700,1248
2024-07-09,07:00:00,392.2000,392.4000,392.0300,392.3000,342
2024-07-09,06:45:00,392.2000,392.2300,392.2000,392.2300,8
2024-07-09,06:30:00,392.2000,392.2000,392.1900,392.1900,7
2024-07-09,06:00:00,392.4000,392.4000,392.1400,392.2000,15
2024-07-09,05:45:00,392.4000,392.4000,392.4000,392.4000,74
2024-07-09,05:30:00,392.4400,392.4400,392.4400,392.4400,34
2024-07-09,05:15:00,392.1100,392.6900,392.1100,392.4500,67
2024-07-09,05:00:00,392.3800,392.7800,392.0500,392.7200,100
2024-07-09,04:45:00,392.3900,392.5000,391.9500,392.0300,46
2024-07-09,04:30:00,392.4100,392.4300,392.3900,392.3900,79
2024-07-09,04:15:00,392.2000,392.4100,392.2000,392.4100,61
2024-07-09,04:00:00,392.5000,392.5000,390.6700,392.4000,810
2024-07-08,19:45:00,391.1600,391.9700,391.0000,391.0000,2065
2024-07-08,19:30:00,391.3000,391.3600,391.0350,391.2300,251
2024-07-08,19:15:00,391.3600,391.9000,391.0260,391.2000,501
2024-07-08,19:00:00,391.0000,391.9700,390.7400,391.5000,5463
2024-07-08,18:45:00,390.8900,391.0000,390.8900,390.9500,574
2024-07-08,18:30:00,390.9000,390.9900,390.7300,390.7300,69
2024-07-08,18:15:00,390.9900,391.0000,390.9900,390.9900,902
2024-07-08,18:00:00,390.7170,390.9900,390.7100,390.9900,448
2024-07-08,17:45:00,390.7170,390.9900,390.7100,390.9000,110084
2024-07-08,17:30:00,390.8700,390.9400,390.8000,390.9400,107
2024-07-08,17:15:00,390.7800,390.9900,390.5100,390.7100,766
2024-07-08,17:00:00,390.8100,391.0000,390.5100,390.7800,690
2024-07-08,16:45:00,390.7000,391.0000,390.5100,390.8800,7246
2024-07-08,16:30:00,390.5100,391.0000,390.5100,390.7200,237
2024-07-08,16:15:00,390.7100,391.0000,390.5100,390.7600,4096
2024-07-08,16:00:00,390.7000,392.0000,390.3500,390.7600,314100
